SF,Pattern,query_number,Run,visual_name,p50
10,DL_Mirror,19,2,Catalog Sales Quantity YoY,746.9685077667236
10,DL_Mirror,19,3,Catalog Sales Quantity YoY,348.252534866333
10,DL_Mirror,20,1,Store Profit % Split by Category,276.3400077819824
10,DL_Mirror,20,2,Store Profit % Split by Category,222.71299362182617
10,DL_Mirror,20,3,Store Profit % Split by Category,186.875581741333
10,DL_Mirror,21,1,Slicer,55.07326126098633
10,DL_Mirror,21,2,Slicer,50.3842830657959
10,DL_Mirror,21,3,Slicer,50.28057098388672
10,DL_Mirror,22,1,Catalog Revenue Ranked by Promotion,246.97542190551758
10,DL_Mirror,22,2,Catalog Revenue Ranked by Promotion,208.2202434539795
10,DL_Mirror,22,3,Catalog Revenue Ranked by Promotion,181.72121047973633
10,DL_Mirror,23,1,Card,256.75249099731445
10,DL_Mirror,23,2,Card,229.88033294677734
10,DL_Mirror,23,3,Card,192.41857528686523
10,DL_Mirror,24,1,Store Revenue Time Analysis,1104.853630065918
10,DL_Mirror,24,2,Store Revenue Time Analysis,1193.0952072143555
10,DL_Mirror,24,3,Store Revenue Time Analysis,557.3749542236328
10,Direct_Query,1,1,Catalog Sales Quantity YoY,53198.068380355835
10,Direct_Query,1,2,Catalog Sales Quantity YoY,5089.448690414429
10,Direct_Query,1,3,Catalog Sales Quantity YoY,12501.08528137207
10,Direct_Query,2,1,Store Profit % Split by Category,1885.5295181274414
10,Direct_Query,2,2,Store Profit % Split by Category,1506.6404342651367
10,Direct_Query,2,3,Store Profit % Split by Category,2446.2485313415527
10,Direct_Query,3,1,Slicer,47.93596267700195
10,Direct_Query,3,2,Slicer,47.90949821472168
10,Direct_Query,3,3,Slicer,50.50206184387207
10,Direct_Query,4,1,Catalog Revenue Ranked by Promotion,1748.1908798217773
10,Direct_Query,4,2,Catalog Revenue Ranked by Promotion,1373.0003833770752
10,Direct_Query,4,3,Catalog Revenue Ranked by Promotion,1744.051456451416
10,Direct_Query,5,1,Card,1768.6712741851807
10,Direct_Query,5,2,Card,1437.406063079834
10,Direct_Query,5,3,Card,1571.3539123535156
10,Direct_Query,6,1,Store Revenue Time Analysis,6895.540714263916
10,Direct_Query,6,2,Store Revenue Time Analysis,7936.109304428101
10,Direct_Query,6,3,Store Revenue Time Analysis,9684.59701538086
